AppOpened,Time,AppOpened
akncapserver,1251782122000,Messaging
Messaging,1251782163000,Mail-for-Exchange
Mail-for-Exchange,1251782169000,Messaging
Messaging,1251782171000,Mail-for-Exchange
Mail-for-Exchange,1251782224000,Messaging
Messaging,1251782228000,Mail-for-Exchange
Mail-for-Exchange,1251782272000,Messaging
Messaging,1251782283000,Mail-for-Exchange
Mail-for-Exchange,1251782284000,Messaging
Messaging,1251782286000,Mail-for-Exchange
Mail-for-Exchange,1251782300000,Messaging
Messaging,1251785201000,Mail-for-Exchange
Mail-for-Exchange,1251785226000,Messaging
Messaging,1251787485000,Telephone
Telephone,1251787503000,MMFControllerProxyServer
MMFControllerProxyServer,1251788783000,akncapserver
akncapserver,1251792394000,Maps
Maps,1251792472000,Local
Local,1251792491000,Maps
Maps,1251792517000,akncapserver
akncapserver,1251792598000,Maps
Maps,1251792615000,Local
Local,1251792639000,psdk_lmsrvapp
psdk_lmsrvapp,1251792676000,Maps
Maps,1251792678000,Local
Local,1251803505000,File-manager
File-manager,1251803517000,Notes
Notes,1251803672000,File-manager
File-manager,1251803677000,Notes
Notes,1251803681000,File-manager
File-manager,1251803803000,Log
Log,1251803826000,Telephone
Telephone,1251803963000,EPFLscope
EPFLscope,1251804002000,Messaging
Messaging,1251804006000,Text-message
Text-message,1251804083000,Messaging
Messaging,1251804142000,EPFLscope
EPFLscope,1251804617000,Py_
Py_,1251805334000,Messaging
Messaging,1251805345000,Log
Log,1251806188000,Messaging
Messaging,1251806194000,Web
Web,1251807322000,Telephone
Telephone,1251807324000,Web
Web,1251807409000,akncapserver
akncapserver,1251807410000,Web
Web,1251807415000,Messaging
Messaging,1251807876000,EPFLscope
EPFLscope,1251808998000,Py_
Py_,1251810118000,Web
Web,1251810259000,akncapserver
akncapserver,1251811888000,Messaging
Messaging,1251813628000,Text-message
Text-message,1251813640000,Messaging
Messaging,1251813653000,Text-message
Text-message,1251813671000,Messaging
Messaging,1251813729000,Telephone
Telephone,1251813731000,Web
Web,1251816847000,App.-manager
App.-manager,1251816961000,File-manager
File-manager,1251816984000,RealPlayer
