lastAppOpenAction lastAudioCable lastLocationChanged lastChargeCable lastWiFiConnected lastDataConnected lastBluetoothConnected lastLightChanged packName
null null null null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.android.settings]
AppOpenAction[com.android.settings] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.android.stk]
AppOpenAction[com.android.stk] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] null null LightChangedAction[draker] AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null LightChangedAction[draker] AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null LightChangedAction[draker] AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.android.incallui]
AppOpenAction[com.android.incallui] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.sina.weibo]
AppOpenAction[com.sina.weibo] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.tencent.mm]
AppOpenAction[com.tencent.mm] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.supercell.clashroyale]
AppOpenAction[com.supercell.clashroyale] null LocationChangedAction[] null WiFiConnectedAction["Lancelot"] DataConnectedAction[] null null AppOpenAction[com.google.android.gms]
AppOpenAction[com.google.android.gms] null LocationChangedAction[] null null DataConnectedAction[] null null AppOpenAction[com.supercell.clashroyale]
